soal,versi-soal,prob_benar_menjawab,level,gpt,taksonomi_bloom
"Bagian dari bidang biologi yang membutuhkan penggunaan mikroskop, sebagai contoh",001v001,"0,20",3,"Bagian/NSD dari/R-- bidang/NSD biologi/NSD yang/S-- membutuhkan/VSA penggunaan/NSD mikroskop/NSD ,/Z-- sebagai/R-- contoh/NSD",C1-Mengingat
"Dalam studi biologi, penggunaan mikroskop diperlukan untuk mempelajari hal seperti",001v002,"0,73",1,"Dalam/R-- studi/NSD biologi/NSD ,/Z-- penggunaan/NSD mikroskop/X-- diperlukan/VSP untuk/R-- mempelajari/VSA hal/NSD seperti/R--",C1-Mengingat
"Ilmu biologi yang membutuhkan penggunaan mikroskop untuk mengkaji, sebagai contoh",001v003,"0,13",3,"Ilmu/NSD biologi/NSD yang/S-- membutuhkan/VSA penggunaan/NSD mikroskop/X-- untuk/R-- mengkaji/VSA ,/Z-- sebagai/R-- contoh/NSD",C1-Mengingat
Cabang biologi yang mendorong peneliti untuk menghasilkan bibit unggul melalui hibridisasi (persilangan) ,002v001,"0,65",2,Cabang/NSD biologi/NSD yang/S-- mendorong/VSA peneliti/NSD untuk/R-- menghasilkan/VSA bibit/NSD unggul/ASP melalui/R-- hibridisasi/X-- (/Z-- persilangan/NSD )/Z--,C2-Memahami
Cabang ilmu biologi yang menjadi dasar bagi peneliti dalam mengembangkan bibit unggul melalui teknik persilangan,002v002,"0,67",2,Cabang/NSD ilmu/NSD biologi/NSD yang/S-- menjadi/VSA dasar/NSD bagi/R-- peneliti/NSD dalam/R-- mengembangkan/VSA bibit/NSD unggul/ASP melalui/R-- teknik/NSD persilangan/NSD,C2-Memahami
Bidang biologi yang mendasari upaya para peneliti dalam meningkatkan produksi pangan melalui pengembangan bibit unggul menggunakan hibridisasi,002v003,"0,85",1,Bidang/NSD biologi/NSD yang/S-- mendasari/VSA upaya/NSD para/G-- peneliti/NSD dalam/R-- meningkatkan/VSA produksi/NSD pangan/NSD melalui/R-- pengembangan/NSD bibit/NSD unggul/ASP menggunakan/VSA hibridisasi/X--,C2-Memahami
Hal yang dipelajari dalam biologi untuk mengembangkan obat untuk flu burung (SARS) adalah,004v001,"0,53",2,Hal/NSD yang/S-- dipelajari/VSP dalam/R-- biologi/NSD untuk/R-- mengembangkan/VSA obat/NSD untuk/R-- flu/NSD burung/NSD (/Z-- SARS/X-- )/Z-- adalah/VSA,C2-Memahami
Komponen studi biologi yang diperlukan dalam pengembangan obat untuk flu burung (SARS) adalah,004v002,"0,25",3,Komponen/NSD studi/NSD biologi/NSD yang/S-- diperlukan/VSP dalam/R-- pengembangan/NSD obat/NSD untuk/R-- flu/NSD burung/NSD (/Z-- SARS/X-- )/Z-- adalah/VSA,C2-Memahami
Aspek biologi yang penting dalam upaya mengembangkan obat untuk flu burung (SARS) adalah,004v003,"0,44",2,Aspek/NSD biologi/NSD yang/S-- penting/ASP dalam/R-- upaya/NSD mengembangkan/VSA obat/NSD untuk/R-- flu/NSD burung/NSD (/Z-- SARS/X-- )/Z-- adalah/VSA,C2-Memahami
"Ada sejumlah kelompok belalang, semut, dan rumput sehingga terbentuk",005v001,"0,33",2,"Ada/VSA sejumlah/O-- kelompok/NSD belalang/NSD ,/Z-- semut/NSD ,/Z-- dan/CC- rumput/NSD sehingga/S-- terbentuk/VSP",C2-Memahami
