soal,versi-soal,prob_benar_menjawab,level,stanza,gpt,manual
"Bagian dari bidang biologi yang membutuhkan penggunaan mikroskop, sebagai contoh",001v001,"0,20",3,"Bagian/NSD dari/R-- bidang/NSD biologi/NSD yang/S-- membutuhkan/VSA penggunaan/NSD mikroskop/X-- ,/Z-- sebagai/R-- contoh/NSD","Bagian/NSD dari/R-- bidang/NSD biologi/NSD yang/S-- membutuhkan/VSA penggunaan/NSD mikroskop/NSD ,/Z-- sebagai/R-- contoh/NSD","Bagian/NSD dari/R-- bidang/NSD biologi/NSD yang/S-- membutuhkan/VSA penggunaan/NSD mikroskop/NSD ,/Z-- sebagai/R-- contoh/NSD"
"Dalam studi biologi, penggunaan mikroskop diperlukan untuk mempelajari hal seperti",001v002,"0,73",1,"Dalam/NSD studi/NSD biologi/NSD ,/Z-- penggunaan/NSD mikroskop/X-- diperlukan/VSP untuk/R-- mempelajari/VSA hal/NSD seperti/R--","Dalam/R-- studi/NSD biologi/NSD ,/Z-- penggunaan/NSD mikroskop/X-- diperlukan/VSP untuk/R-- mempelajari/VSA hal/NSD seperti/R--","Dalam/R-- studi/NSD biologi/NSD ,/Z-- penggunaan/NSV mikroskop/NSD diperlukan/VSP untuk/R-- mempelajari/VBT hal/NSD seperti/R--"
"Ilmu biologi yang membutuhkan penggunaan mikroskop untuk mengkaji, sebagai contoh",001v003,"0,13",3,"Ilmu/NSD biologi/NSD yang/S-- membutuhkan/VSA penggunaan/NSD mikroskop/X-- untuk/R-- mengkaji/VSA ,/Z-- sebagai/R-- contoh/NSD","Ilmu/NSD biologi/NSD yang/S-- membutuhkan/VSA penggunaan/NSD mikroskop/X-- untuk/R-- mengkaji/VSA ,/Z-- sebagai/R-- contoh/NSD","Ilmu/NSD biologi/NSD yang/S-- membutuhkan/VBT penggunaan/NSV mikroskop/NSD untuk/R-- mengkaji/VBT ,/Z-- sebagai/R-- contoh/NSD"
Cabang biologi yang mendorong peneliti untuk menghasilkan bibit unggul melalui hibridisasi (persilangan) ,002v001,"0,65",2,Cabang/NSD biologi/NSD yang/S-- mendorong/VSA peneliti/NSD untuk/R-- menghasilkan/VSA bibit/NSD unggul/ASP melalui/R-- hibridisasi/X-- (/Z-- persilangan/NSD )/Z--,Cabang/NSD biologi/NSD yang/S-- mendorong/VSA peneliti/NSD untuk/R-- menghasilkan/VSA bibit/NSD unggul/ASP melalui/R-- hibridisasi/X-- (/Z-- persilangan/NSD )/Z--,Cabang/NSD biologi/NSD yang/S-- mendorong/VBT peneliti/NSD untuk/R-- menghasilkan/VBT bibit/NSD unggul/ADJ melalui/R-- hibridisasi/R-- (/Z-- persilangan/NSV )/Z-- 
Cabang ilmu biologi yang menjadi dasar bagi peneliti dalam mengembangkan bibit unggul melalui teknik persilangan,002v002,"0,67",2,Cabang/NSD ilmu/NSD biologi/NSD yang/S-- menjadi/VSA dasar/NSD bagi/R-- peneliti/NSD dalam/ASP mengembangkan/VSA bibit/NSD unggul/ASP melalui/R-- teknik/NSD persilangan/NSD,Cabang/NSD ilmu/NSD biologi/NSD yang/S-- menjadi/VSA dasar/NSD bagi/R-- peneliti/NSD dalam/R-- mengembangkan/VSA bibit/NSD unggul/ASP melalui/R-- teknik/NSD persilangan/NSD,Cabang/NSD ilmu/NSD biologi/NSD yang/S-- menjadi/VBT dasar/NSD bagi/R-- peneliti/NSD dalam/R-- mengembangkan/VBT bibit/NSD unggul/ADJ melalui/R-- teknik/NSD persilangan/NSV
Bidang biologi yang mendasari upaya para peneliti dalam meningkatkan produksi pangan melalui pengembangan bibit unggul menggunakan hibridisasi,002v003,"0,85",1,Bidang/NSD biologi/NSD yang/S-- mendasari/VSA upaya/NSD para/B-- peneliti/NSD dalam/ASP meningkatkan/VSA produksi/NSD pangan/NSD melalui/R-- pengembangan/NSD bibit/NSD unggul/ASP menggunakan/VSA hibridisasi/X--,Bidang/NSD biologi/NSD yang/S-- mendasari/VSA upaya/NSD para/G-- peneliti/NSD dalam/R-- meningkatkan/VSA produksi/NSD pangan/NSD melalui/R-- pengembangan/NSD bibit/NSD unggul/ASP menggunakan/VSA hibridisasi/X--,Bidang/NSD biologi/NSD yang/S-- mendasari/VBT upaya/NSD para/DET peneliti/NSD dalam/R-- meningkatkan/VBT produksi/NSD pangan/NSD melalui/R-- pengembangan/NSV bibit/NSD unggul/ADJ menggunakan/VBT hibridisasi/NSD
Hal yang dipelajari dalam biologi untuk mengembangkan obat untuk flu burung (SARS) adalah,004v001,"0,53",2,Hal/NSD yang/S-- dipelajari/VSP dalam/ASP biologi/NSD untuk/R-- mengembangkan/VSA obat/NSD untuk/R-- flu/NSD burung/NSD (/Z-- SARS/X-- )/Z-- adalah/O--,Hal/NSD yang/S-- dipelajari/VSP dalam/R-- biologi/NSD untuk/R-- mengembangkan/VSA obat/NSD untuk/R-- flu/NSD burung/NSD (/Z-- SARS/X-- )/Z-- adalah/VSA,Hal/NSD yang/S-- dipelajari/VSP dalam/R-- biologi/NSD untuk/R-- mengembangkan/VBT obat/NSD untuk/R-- flu/NSD burung/NSD (/Z-- SARS/NSD )/Z-- adalah/VBL
Komponen studi biologi yang diperlukan dalam pengembangan obat untuk flu burung (SARS) adalah,004v002,"0,25",3,Komponen/NSD studi/NSD biologi/NSD yang/S-- diperlukan/VSP dalam/ASP pengembangan/NSD obat/NSD untuk/R-- flu/X-- burung/NSD (/Z-- SARS/X-- )/Z-- adalah/O--,Komponen/NSD studi/NSD biologi/NSD yang/S-- diperlukan/VSP dalam/R-- pengembangan/NSD obat/NSD untuk/R-- flu/NSD burung/NSD (/Z-- SARS/X-- )/Z-- adalah/VSA,Komponen/NSD studi/NSD biologi/NSD yang/S-- diperlukan/VSP dalam/R-- pengembangan/NSV obat/NSD untuk/R-- flu/NSD burung/NSD (/Z-- SARS/NSD )/Z-- adalah/VBL
Pilihlah yang tidak termasuk dalam persiapan sebelum melakukan penelitian ilmiah,006v001,"0,36",2,Pilih/VSA lah/T-- yang/S-- tidak/G-- termasuk/R-- dalam/ASP persiapan/NSD sebelum/S-- melakukan/VSA penelitian/NSD ilmiah/ASP,Pilihlah/VSA PAD/PAD yang/S-- tidak/B-- termasuk/VSA dalam/R-- persiapan/NSD sebelum/R-- melakukan/VSA penelitian/NSD ilmiah/ASP,Pilih/VSA lah/T-- yang/S-- tidak/ADV termasuk/VBI dalam/R-- persiapan/NSD sebelum/ADV melakukan/VBT penelitian/NSD ilmiah/ADJ
Pilihlah mana yang bukan termasuk  hal yang disiapkan sebelum melakukan penelitian ilmiah,006v002,"0,67",2,Pilih/VSA lah/T-- mana/NSD yang/S-- bukan/G-- termasuk/R-- hal/NSD yang/S-- disiapkan/VSP sebelum/S-- melakukan/VSA penelitian/NSD ilmiah/ASP,Pilihlah/VSA PAD/PAD mana/Y-- yang/S-- bukan/B-- termasuk/VSA hal/NSD yang/S-- disiapkan/VSP sebelum/R-- melakukan/VSA penelitian/NSD ilmiah/ASP,Pilih/VSA lah/T-- mana/PRQ yang/S-- bukan/ADV termasuk/VBI hal/NSD yang/S-- disiapkan/VSP sebelum/ADV melakukan/VBT penelitian/NSD ilmiah/ADJ
